name,hand
hu48AC54,Right
hu0DEE68,Right
huFF6AB4,Right
hu01EECF,Left
huA3177D,Right
huD80EF3,Right
hu75F3D7,Right
huD37BAD,Right
hu648431,Right
hu2419F7,Left
huF194C8,Right
hu1C6DA9,Right
huFB87DF,Right
huC2279C,Right
hu0B4653,Right
hu1EF4CF,Right
hu82AAD7,Right
huE6E6C9,Right
huB828CB,Right
hu96B7C3,Right
hu979849,Right
huE81731,Right
hu02C8E3,Right
hu3269F6,Right
huF99A55,Right
huE18D82,Right
hu4A9989,Right
hu9EDB77,Right
hu7E6BE8,Right
huD636DC,Right
huD0127A,Right
huD0127A,Right
hu4F3DB4,Right
hu2FBC1E,Right
hu49682A,Right
huECE756,Right
hu569BA6,Right
hu1247AF,Right
huE670CB,Right
huE8AB10,Right
hu609D1E,Left
hu609D1E,Left
huA91EB4,Right
hu7D9CFA,Right
hu7D9CFA,Right
huE9EECA,Right
huE17950,Right
hu5E164C,Right
hu63165B,Right
hu618103,Right
huC43685,Right
hu6791F6,Right
huE8554D,Left
hu5E8E50,Right
hu005023,Right
hu81BCA8,Right
huAC827A,Right
hu955EE1,Right
huE9130A,Right
hu868880,Right
huF7B0CD,Right
huA433CD,Right
huA433CD,Right
hu64A49C,Right
hu9D75D9,Right
hu52A2CC,Right
hu531522,Right
hu53E02A,Right
hu5A38F5,Right
huEAA391,Right
hu2F80FC,Right
huD23DC7,Right
huBFC13E,Right
hu4EEA9B,Prefer to write with left; have trained myself to use both hands for anything.
hu4EEA9B,"Left, ambidextrous"
huDBDF82,Left
huDBDF82,Left
huC03A63,Right
hu4C3094,Right
hu9925B4,Right
hu1C3ACB,Right
huAD6C57,Right
hu4623CD,Right
huDE8ACB,Left
hu297A5D,Left
huFB4F9E,Right
huCDD5EE,Right
huDE536F,Right
huB0DE0F,Right
hu8209C4,Right
hu152E96,Left
hu55889F,Right
hu77BAD2,Left
hu37161B,Right
huDD5D00,Right
hu741459,Right
huBE7BAD,Right
hu2735B0,Left
hu9C5D3F,Right
huB4DBD7,Right
huE0E689,Right
hu346673,Right
hu01FB26,Right
hu01FB26,Right
huC3ACB0,Right
hu652406,Right
hu60431C,
hu7ECB9C,Left
hu7BBD72,Right
hu880E6A,Right
hu60AB7C,Right
hu470099,Right
hu4C20BC,Right
hu70ED6F,Right
hu70ED6F,Right
hu1FD318,Right
hu6D243A,Right
hu1187FF,Right
hu7CE7A6,Left
hu4B3CE7,Right
hu65BFA1,Right
hu4F2901,Right
hu3FD7CB,Right
hu40A5EC,Right
huEDD981,Right
huEDD981,Right
huA5C65F,Right
huD82893,Right
hu480C51,Right
hu6568BC,Right
hu39D219,Right
hu7C0788,Right
huAF469C,Left
huAF469C,Left
huCE971C,Left
hu9F0C90,Right
huC87AD4,Right
hu4D6C61,Left
hu5F9608,Right
hu4BB10E,Right
hu7CAF48,Right
hu8DFB85,Right
huBF974E,Left
hu498BDE,Right
huEC83E7,Right
hu9CB528,Right
hu6B7829,Right
huC9C933,Right
huA49E22,Right
hu24E078,Right
hu231D80,Right
hu136241,Right
hu5A7E54,Right
hu3963B9,Right
hu5A7DC1,Both equally well
hu7F7E4E,Right
hu448C4B,Left
huAD6C57,Right
hu2CDBAA,Right
hu297A5D,Left
hu53075C,Right
hu344FC0,Right
hu17B792,Right
huFE1782,Right
hu5268AD,Right
hu297A5D,Left
huF055B9,Right
hu6036FB,Right
hu473ED0,Right
hu5CA053,Right
hu1DC288,Right
huF5F075,Left
hu371765,Left
hu9532BC,Right
hu53DD01,Right
hu6F651C,Right
huB06CDB,Right
hu76380E,Right
hu27CF3D,Right
huC5203C,Right
hu8FCC8F,Right
hu81F96F,Right
huFE0257,Left
hu7D1D2D,Right
huD7DB72,Right
huD7DB72,Right
huAFF60A,Right
huDEEECB,Left
hu3F8570,Right
hu45A646,Right
hu934217,Right
huBA62D9,Right
hu52C5AD,Right
hu655EB3,Right
huBBF649,Right
hu0F6CC5,Right
hu9639D2,Right
hu195E4B,Right
huADBA20,Right
hu00F298,Right
hu72C17A,Right
hu2519CF,Right
huF489EC,Right
huDF8970,Right
hu524B5B,Right
huE27C66,Right
huE7271F,Right
hu47E28A,Right
hu7F50FF,Right
hu768A9A,Right
hu351AF9,Right
hu8246C2,Right
hu96D41E,Right
huD6F70D,Right
huCA7C6B,Right
huD2F73D,Right
hu9AF15C,Right
huA80B79,Right
hu01FCAD,Right
hu4B6D1D,Right
hu19CCAF,Left
hu4A8E6F,Both equally well
huA3BBD3,Right
hu4528B9,Right
huA2D79E,Right
hu082B98,Right
huAC9980,Left
huAA306E,Right
hu26D074,Right
hu18460C,Right
hu18460C,Right
hu55E69B,Right
hu6F9975,Right
hu0B100A,Left
hu5880D9,Right
hu9BD3DC,Right
hu34986F,Right
hu88370B,Right
hu6C4BCF,Right
hu4664CE,Right
hu83E9B9,Right
hu98F189,Right
hu05FD49,Right
hu76D186,Right
huA33758,Right
hu871435,Both equally well
huEEE6E8,Right
hu7DE7FD,Right
hu51B2DF,Right
hu82D466,Right
huF5E0B6,Right
hu3E3370,Right
hu5CABA7,Right
hu72076D,Right
hu7A03F2,Right
hu635045,Right
hu6D1115,Right
hu8602F1,Left
hu6E7E5D,Right
hu4D906B,Right
hu1F7A7D,Right
hu26C7EE,Right
huB9F2F3,Right
hu70D651,Right
hu1097B2,Right
huE1E24D,Right
hu5BB600,Left
hu6642CE,Right
hu1F73AB,Right
hu886B5A,Right
hu3E6525,Right
huDC33F3,Right
hu7B9713,Right
hu427AF5,Right
hu420F49,Right
huEFD2F0,Right
hu7A9A8F,Left
hu976B29,Right
hu4DE348,Right
hu0C9503,Right
hu54EEB2,Right
hu916767,Right
hu2DBF2D,Right
hu10D938,Right
hu10D938,Right
hu6CD2B2,Right
hu4A0B16,Right
huC300EA,Left
huEC8BB4,Right
hu4509AD,Right
hu07CA25,Left
hu4C0A4F,Right
huC3ECD9,Right
hu548442,Right
huC61F44,Left
hu4A9550,"mostly right, but left for sports"
hu17410A,Right
hu029DBB,Right
huA96EC4,Right
hu4D0AD8,Right
hu16D807,Right
hu8D297C,Right
hu217398,Both equally well
huB225A9,Right
hu2B8562,Right
hu4B1A63,Right
hu370A63,Right
hu370A63,Right
hu0211D6,Right
huB75628,Right
huB75628,Right
huDCCD23,Right
huEBFE01,Right
hu955F41,Right
huE2EAB7,Right
hu2C27FF,Right
hu50741B,Left
hu515A13,Right
hu691B95,Right
hu48739E,Right
huAA67BC,Left
hu2EFFAB,Left
hu4F2FC9,Right
hu0EB0AC,Right
hu0E7AAF,Right
huA5BEB9,Right
huDABCEB,Right
huE77B10,Left
huAF3415,Right
hu828330,Right
hu9BBEE6,Right
hu6B8812,Left
hu040C0A,Right
huF6B050,Right
hu1EEE46,Right
hu99FB1A,Right
hu99FB1A,Right
huA5BA2A,Right
hu04D550,Right
huF0C7F6,Right
huD58ABC,Right
hu4F0EE1,Right
huF5A4C6,Right
hu0257DA,
hu6942AE,Right
hu28C432,Left
hu0B51B8,Right
huC6F6AC,Left
huD62FC1,Right
hu664B6E,Right
hu15E54C,Right
hu9399CB,Right
hu4EB3D8,Right
hu1F5D48,Left
hu4BD9FD,Right
hu694A23,Left
hu340836,Right
huF39C9F,Right
hu26F263,Right
huA2961E,Right
hu73812A,Right
hu3A1F33,Right
hu2FEC01,Right
hu19F818,Right
huAB8707,Left
hu92F252,Left
hu8B4E43,Right
hu7ED49C,Right
hu3841AA,Left
huE7B83C,Left
huC2FAF9,Left
hu0488C7,Right
