name,left,right
hu8209C4,15,6
hu152E96,14,15
hu55889F,2,14
hu77BAD2,7,2
hu37161B,13,7
huDD5D00,5,13
hu741459,8,5
huBE7BAD,15,11
hu2735B0,14,15
hu9C5D3F,7,14
huB4DBD7,18,7
huE0E689,4,18
hu346673,21,4
hu01FB26,21,21
hu01FB26,6,21
huC3ACB0,12,6
hu652406,18,12
hu60431C,22,18
hu7ECB9C,5,22
hu7BBD72,4,5
hu880E6A,14,4
hu60AB7C,14,14
hu470099,7,14
hu4C20BC,14,7
hu70ED6F,14,14
hu70ED6F,13,14
hu1FD318,4,13
hu6D243A,10,6
hu1187FF,22,10
hu7CE7A6,21,22
hu4B3CE7,7,21
hu65BFA1,20,7
hu4F2901,13,20
hu3FD7CB,8,13
hu40A5EC,2,8
huEDD981,2,2
huEDD981,4,2
huA5C65F,7,4
huD82893,4,7
hu480C51,18,4
hu6568BC,10,18
hu39D219,19,10
hu7C0788,11,19
huAF469C,11,11
huAF469C,7,11
huCE971C,7,7
hu9F0C90,1,7
huC87AD4,20,1
hu4D6C61,1,20
hu5F9608,4,1
hu4BB10E,14,4
hu7CAF48,3,14
hu8DFB85,16,3
huBF974E,21,17
hu498BDE,2,21
huEC83E7,21,2
hu9CB528,1,21
hu6B7829,7,1
huC9C933,16,7
huA49E22,14,16
hu24E078,4,14
hu231D80,8,4
hu136241,23,8
hu5A7E54,16,23
hu3963B9,1,16
hu5A7DC1,24,1
hu7F7E4E,8,24
hu448C4B,7,8
huAD6C57,3,7
hu2CDBAA,4,3
hu297A5D,18,4
hu53075C,7,18
hu344FC0,14,8
hu17B792,2,14
huFE1782,20,2
hu5268AD,4,20
hu297A5D,22,4
huF055B9,14,22
hu6036FB,7,14
hu473ED0,14,7
hu5CA053,4,14
hu1DC288,16,4
huF5F075,18,16
hu371765,14,18
hu9532BC,7,14
hu53DD01,14,7
hu6F651C,7,14
huB06CDB,11,7
hu76380E,13,11
hu27CF3D,4,13
hu8FCC8F,18,4
hu81F96F,19,18
huFE0257,23,19
hu7D1D2D,11,23
huD7DB72,11,12
huD7DB72,17,12
huAFF60A,8,17
huDEEECB,4,8
hu3F8570,21,4
hu45A646,1,21
hu934217,19,1
huBA62D9,7,19
hu52C5AD,18,7
hu655EB3,20,18
huBBF649,10,20
hu0F6CC5,13,10
hu9639D2,4,13
hu195E4B,1,4
huADBA20,15,1
hu00F298,20,15
hu72C17A,17,20
huF489EC,10,17
huDF8970,22,10
hu524B5B,1,22
huE27C66,17,1
huE7271F,7,17
hu47E28A,8,7
hu7F50FF,21,8
hu768A9A,16,21
hu351AF9,4,16
hu8246C2,7,4
hu96D41E,1,7
huD6F70D,2,1
huCA7C6B,7,2
huD2F73D,11,7
hu9AF15C,15,11
huA80B79,16,15
hu01FCAD,10,15
hu4B6D1D,15,10
hu19CCAF,23,15
hu4A8E6F,20,23
huA3BBD3,8,20
hu4528B9,23,8
huA2D79E,17,23
hu082B98,18,17
huAC9980,2,18
huAA306E,4,2
hu26D074,14,4
hu18460C,14,14
hu18460C,7,14
hu55E69B,13,7
hu6F9975,11,13
hu0B100A,13,9
hu5880D9,3,13
hu9BD3DC,10,3
hu34986F,8,8
hu88370B,17,8
hu6C4BCF,11,17
hu4664CE,20,8
hu83E9B9,8,20
hu98F189,10,9
hu05FD49,6,10
hu76D186,16,6
huA33758,11,16
hu871435,20,11
huEEE6E8,13,20
hu7DE7FD,2,13
hu51B2DF,15,2
hu82D466,20,15
huF5E0B6,7,20
hu3E3370,19,7
hu5CABA7,4,19
hu72076D,4,4
hu7A03F2,16,4
hu635045,20,16
hu6D1115,14,20
hu8602F1,9,14
hu6E7E5D,13,9
hu4D906B,7,13
hu1F7A7D,10,7
hu26C7EE,15,10
huB9F2F3,11,15
hu70D651,11,11
hu1097B2,18,11
huE1E24D,2,18
hu5BB600,7,2
hu6642CE,1,8
hu1F73AB,14,1
hu886B5A,24,14
huDC33F3,9,24
hu7B9713,8,9
hu427AF5,9,8
hu420F49,20,4
huEFD2F0,7,20
hu7A9A8F,4,7
hu976B29,8,4
hu4DE348,7,9
hu0C9503,14,7
hu54EEB2,20,14
hu916767,8,20
hu2DBF2D,11,8
hu10D938,11,11
hu10D938,15,11
hu6CD2B2,11,15
hu4A0B16,20,11
huC300EA,20,20
huEC8BB4,10,20
hu4509AD,13,10
hu07CA25,2,13
hu4C0A4F,16,2
huC3ECD9,5,16
hu548442,7,2
huC61F44,13,7
hu4A9550,2,13
hu17410A,21,2
hu029DBB,16,21
huA96EC4,19,16
hu4D0AD8,13,19
hu16D807,15,13
hu8D297C,1,16
hu217398,2,1
huB225A9,7,2
hu2B8562,15,7
hu4B1A63,11,15
hu370A63,11,11
hu370A63,13,11
hu0211D6,14,13
huB75628,14,14
huB75628,14,14
huDCCD23,14,14
huEBFE01,11,14
hu955F41,2,11
huE2EAB7,13,2
hu2C27FF,14,13
hu50741B,1,14
hu515A13,2,1
hu691B95,7,7
hu48739E,3,7
huAA67BC,15,3
hu2EFFAB,13,14
hu4F2FC9,23,13
hu0EB0AC,11,23
hu0E7AAF,15,11
huA5BEB9,21,15
huDABCEB,10,21
huE77B10,4,10
huAF3415,5,4
hu828330,4,5
hu9BBEE6,20,4
hu6B8812,16,20
hu040C0A,8,16
huF6B050,7,8
hu1EEE46,15,7
hu99FB1A,15,15
hu99FB1A,2,15
huA5BA2A,13,2
hu04D550,7,13
huF0C7F6,2,7
huD58ABC,20,2
hu4F0EE1,16,20
huF5A4C6,8,23
hu0257DA,1,5
hu6942AE,8,1
hu28C432,,7
